cheese	milk	origin	region	family	kind	fat	calcium	rind	texture	color	flavor	aroma	producer	synonyms	alternative_spellings	vegetarian	description
Abbaye de Belloc	unpasteurized sheep's milk	France	Pays Basque		"semi-hard, artisan"			natural	"creamy, dense and firm"	yellow	burnt caramel	lanoline		Abbaye Notre-Dame de Belloc		yes	"Abbaye de Belloc is also known as 'Abbaye Notre-Dame de Belloc' since it was produced by the Benedictine monks at the 'Abbaye de Notre Dame de Belloc' in the Pays Basque region of Aquitaine, France. They used unpasteurised sheep milk available in the locality and followed a cheese-making process that dates back to 3000 years. Abbaye de Belloc is a flat wheel-shaped traditional, farmhouse, semi-hard cheese made from sheep's milk. It has a natural, crusty, brownish rind with patches of red, orange and yellow. The rind is marked with tiny craters. The cheese has a firm, dense, rich and creamy texture. The taste resembles burnt caramel, and there is a distinctive lanolin aroma. The ageing process of the cheese ranges from four to ten months. The younger wheels are made in December, while the older ones are in July. Both types of cheese wheels are sent to the market in April."
Abbaye de Belval	cow's milk	France			semi-hard	40-46%		washed	elastic	ivory		aromatic				no	"This cheese is also known as Le Trappiste de Belval or Belval. Manufactured in historical Picardy province of north France by Trappist sisters, Abbaye de Belval is matured for about 60 days in the cellars of the abbey with great care. The disc-shaped, semihard cheese is made from cow's milk and has a light aroma.  Texturally, it has an ivory white paste and a smooth, glossy, golden, washed rind. This cheese which reminds of Saint-Paulin has been made since 1893 by the sisters of the abbey. The Belval cheese makes a perfect pair with all light, fruity red or full-bodied red wines such as Beaujolais, Chinon, Champigny and many more."
Abbaye de Citeaux	unpasteurized cow's milk	France	Burgundy		"semi-soft, artisan, brined"			washed	"creamy, dense and smooth"	white	"acidic, milky, smooth"	"barnyardy, earthy"				no	"The Abbaye de Citeaux cheese comes from the Citeaux Abbey, located in Burgundy, France. It is a classic, washed-rind cheese made from cow's milk. The milk is derived from red and white Montbéliarde cows graze on the abbey's flat meadow for at least six months. The Abbaye de Citeaux cheese has a pungent aroma with a supple and semi-soft texture. The ivory-white cheese has a dense and smooth interior paste and an earthy, creamy taste. Volnay or any light Burgundy wine pairs well with the cheese."
Abbaye de Tamié	unpasteurized cow's milk	France	Savoie		"soft, artisan"			washed	"creamy, open and smooth"	white	"fruity, nutty"	"perfumed, pungent"			"Abbey of Tamie, Trappiste de Tamie, Tamié"	no	"Abbaye de Tamie is a French cheese made by the monks at the Trappist Abbey of Tamié since the 12th century. The abbey is located in the Savoie region of southeastern France. Earlier, milk used to come from the monastery’s herd, but today the monks use unpasteurised whole milk of Abondance cows to prepare the cheese at the Abbey. As with other monasteries cheeses of France, Tamie is washed in brine during maturing period. The flavors of this soft cheese are delicate and balanced with sweet notes of fresh cream, salt and hay. It leaves behind a bit of bitterness on the finish. Tamie is often compared to Reblochon, but its paste is less creamy and has a stronger taste. Abbaye de Tamie is easily recognizable by its blue and white paper packing. It pairs well with Cru Beaujolais, Sangiovese, Chardonnay, Merlot or Beaujolais."
Abbaye de Timadeuc	pasteurized cow's milk	France	province of Brittany		semi-hard			washed	soft	pale yellow	"salty, smooth"	nutty	Abbaye Cistercienne  NOTRE-DAME DE TIMADEUC			no	"Being a direct descendant of the Port du Salut, Abbaye de Timadeuc cheese is produced by the monks at Abbaye Cistercienne Notre-Dame de Timadeuc, Brehan, in the province of Brittany in France. Made from cow's milk, it is an uncooked and pressed cheese with a semi-hard texture and washed rind. After 2 to 3 weeks of maturation, the rind turns orange/yellowish. Abbaye de Timadeuc has a little salty and soft paste with a nutty aroma. It can be accompanied by Gamay de Touraine wine."
Abbaye du Mont des Cats	pasteurized cow's milk	France	Nord-Pas-de-Calais		"semi-soft, artisan, brined"	50%		washed	smooth and supple	pale yellow	"milky, salty"	floral	Abbaye du Mont des Cats			no	"The Abbaye du Mont des Cats cheese is made by monks in a monastery of the same name in the town of Godewaersvelde, in Northern France. Cow's milk from local farms is used and the milk is gently pasteurised for cheese production. The maturation process takes about 4 to 5 weeks. During this process, the cheese is washed with a brine solution to encourage the Bacterium Linens mold. It is then dyed with roucou, a red dye, gained from anatto seeds. The texture of the cheese is smooth and supple, with occasional tiny holes. The rind is orange-red in color and the flavor is mild with subtle hints of milk and hay."
Abbot’s Gold	pasteurized cow's milk	"England, Great Britain and United Kingdom"	North Yorkshire	Cheddar	semi-hard			natural	"creamy, crumbly, dense and semi firm"	pale yellow	"mild, sweet, tangy"	aromatic	Wensleydale Creamery	"English Cheddar with Caramelized Onions, Caramelised Onion Cheddar, Abbot's Gold Cheddar with Caramelised Onion"		yes	"Abbot's Gold, also known by other names such as 'Caramelised Onion Cheddar' or 'English Cheddar with Caramelized Onions', is a traditional English cheese made by the historic Wensleydale Creamery in England. Creamy, classic Cheddar infused with rich, sweet caramelised onions tastes of tangy onion soup with an amazing burst of flavor. Abbot's Gold is made with pasteurised cow's milk and pair's best with a Riesling or pale ale. Use it to spice up sandwiches, hot dogs and grilled steaks."
Abertam	sheep's milk	Czech Republic	Karlovy Vary		"hard, artisan"	45%		natural	firm	pale yellow	"acidic, strong, tangy"					no	"Abertam is a traditional sheep's milk cheese made in the famous Czech spa town of Karlovy Vary. The pale yellow cheese is shaped into irregular spheres before being ripened for about 2 months. Featuring a thin yellow to orange natural rind, it is mostly used for melting despite having a hard texture.Abertam is an artisanal cheese who’s deep and strong flavors are influenced by the natural pastures of mountainous part of Bohemia. The cheese makes a great addition to cheese tastings and plates. Its characteristic extra strong flavor often pairs well with beer, dark lager, pilsner and sweet wines. Add it to a variety of dishes such as fondue, bread or crackers, dipping for that tangy kick and acidic bite. The cheese also goes marvellously with apples and grilled cheese sandwiches."
Abondance	unpasteurized cow's milk	France	"Haute-Savoie, Abondance"	Tomme	"semi-hard, artisan"	48%		natural	"creamy, open and supple"	pale yellow	"acidic, buttery, fruity, sweet"	nutty			Tomme d'Abondance	no	"Tomme d'Abondance or Abondance is a medium-sized mountain cheese from the Haute Savoie region of France in the Rhone-Alps. This deep golden cheese has been made in mountain chalets near France and Switzerland for centuries. It is made exclusively from unpasteurised milk produced by the Abondance breed of cattle. Since 1990, the cheese has been enjoying the prestigious AOC designation. The handcrafted, wheel-shaped cheese is made using traditional methods only in the geographical area specified by the AOC/PDO label. It has a strong smell and an intensely fruity, buttery and hazelnut flavor, with the balance of acidity and sweetness, followed by a lingering aftertaste. Unearth an aroma of nutty vegetation as you slice the cheese. However, remember the crust, including the grey layer beneath, should be removed before eating. Firm but supple and slightly grainy, the texture of the ivory-yellow pâté is creamy and velvety. Its rind is smooth with an amber color showing canvas marks. The affinage takes at least 100 days that help release the subtle aromas. Abondance can be eaten straight off, added to salads or melted in Berthoud. It pairs well with Malbec and Cabernet Sauvignon."
Acapella	goat's milk	United States	California		"soft, soft-ripened"						buttery	"fresh, herbal"				no	"Acapella is a soft goat's milk cheese. A soft-repined cheese comes in three varieties: 'Pyramid' has a truncated pyramid shape with a dry and firm texture weighing around 7-8oz. 'Round' weighs about 3oz having a small round shape with a soft and creamy texture. To give a classic French goat milk appearance with a soft and creamy texture, Ash is added to 'Ashed Round' when salting. The cheese has a mild, buttery taste with a slight herbal aroma. It contains microbial rennet. The cheese is served with White Burgundy."
Accasciato	buffalo's and cow's milk	Italy	Campania		semi-hard			natural	firm	pale yellow	sweet	"aromatic, fresh"	Casa Madaio			no	"Accasciato meaning 'collapsed' in Italian, is a soft, creamy cheese made by a Casa Madaio dairy farm in Cilento, Campania, Italy. The fresh milk of cow and buffalo is coagulated and then drained and kept for maturation for 40 to 60 days depending upon the season. During ripening the cheese develops soft, pale yellow rind with white, opaque paste inside. The cheese has a sweet aroma and a firm texture."
